id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0073114,The Story of Adele H,https://www.imdb.com/title/tt0073114,1975,1h 36m,PG,7.2,9.3K,,509.0,11206.0,"['Period Drama', 'Biography', 'Drama', 'History']"
tt0073650,"Salò, or the 120 Days of Sodom",https://www.imdb.com/title/tt0073650,1975,1h 57m,TV-MA,5.8,68K,,1808595.0,,"['Period Drama', 'Teen Drama', 'Tragedy', 'Drama']"
tt0072684,Barry Lyndon,https://www.imdb.com/title/tt0072684,1975,3h 5m,PG,8.1,189K,11000000.0,279084.0,,"['Costume Drama', 'Dark Comedy', 'Epic', 'Period Drama', 'Adventure', 'Drama', 'War']"
tt0075019,Operation Daybreak,https://www.imdb.com/title/tt0075019,1975,1h 58m,PG,7.0,2.5K,,,,"['Drama', 'History', 'War']"
tt0071650,Ilsa: She Wolf of the SS,https://www.imdb.com/title/tt0071650,1975,1h 36m,R,5.1,8.4K,,,,"['Drama', 'Horror', 'Thriller', 'War']"
tt0072856,Death Race 2000,https://www.imdb.com/title/tt0072856,1975,1h 20m,R,6.2,32K,300000.0,,,"['B-Action', 'Car Action', 'Dark Comedy', 'Dystopian Sci-Fi', 'Action', 'Comedy', 'Sci-Fi', 'Sport']"
tt0073170,The School Teacher,https://www.imdb.com/title/tt0073170,1975,1h 29m,,4.8,955,,,,['Comedy']
tt0072752,The Beast,https://www.imdb.com/title/tt0072752,1975,1h 38m,Not Rated,5.7,5.6K,,,,"['Drama', 'Fantasy', 'Horror', 'Romance']"
tt0073000,The Pinchcliffe Grand Prix,https://www.imdb.com/title/tt0073000,1975,1h 28m,G,8.4,15K,,,,"['Car Action', 'Motorsport', 'Stop Motion Animation', 'Animation', 'Comedy', 'Family', 'Sport']"
tt0073115,The Story of O,https://www.imdb.com/title/tt0073115,1975,1h 37m,NC-17,5.3,7.1K,,,,['Drama']
tt0073768,Supervixens,https://www.imdb.com/title/tt0073768,1975,1h 46m,Unrated,5.9,5.2K,100000.0,,,"['Dark Comedy', 'Comedy', 'Thriller']"
tt0073631,Rollerball,https://www.imdb.com/title/tt0073631,1975,2h 5m,R,6.5,30K,6000000.0,,,"['Dystopian Sci-Fi', 'Action', 'Sci-Fi', 'Sport']"
tt0073341,The Man Who Would Be King,https://www.imdb.com/title/tt0073341,1975,2h 9m,PG,7.7,53K,8000000.0,12678.0,,"['Adventure', 'Drama', 'War']"
tt0073582,Deep Red,https://www.imdb.com/title/tt0073582,1975,2h 7m,R,7.5,44K,,67532.0,,"['Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']"
tt0073198,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198,1975,3h 22m,Not Rated,7.5,15K,,10813.0,,['Drama']
tt0073870,The Family Vice,https://www.imdb.com/title/tt0073870,1975,1h 30m,,5.1,363,,,,"['Raunchy Comedy', 'Comedy']"
tt0073705,Shivers,https://www.imdb.com/title/tt0073705,1975,1h 27m,R,6.3,24K,185000.0,,,"['Body Horror', 'Horror', 'Sci-Fi']"
